id;description;is_cold;availability_begin;availability_end;title;selected_recuperator;location_id;organisation_id
1;mobile Fish;true;2019-10-21T00:29:40;2019-10-21T00:32:17;DamXXXXXXX;9997;1;1
2;TraceXXXXX;false;2019-10-21T00:26:08;2019-10-21T11:26:00;deposit Tasty Metal Bacon Implementation;77;2;2
3;OfficerXXX;true;2019-10-21T07:33:38;2019-10-21T00:10:58;Grocery Home;52477;3;3
4;enable Gorgeous Frozen Pants;false;2019-10-21T03:55:00;2019-10-21T12:41:16;Savings Account syndicate Planner;46676;4;4
5;HDDXXXXXXX;true;2019-10-21T10:46:11;2019-10-21T04:03:01;Automotive;94220;5;5
6;South Dakota envisioneer Music;false;2019-10-20T22:26:27;2019-10-21T09:04:39;Bahamian Dollar Investment Account;83319;6;6
7;SaladXXXXX;false;2019-10-21T08:39:06;2019-10-21T10:29:19;copy convergence;20794;7;7
8;Georgia Industrial;true;2019-10-20T20:15:33;2019-10-21T04:04:06;e-enable Communications capacitor;32654;8;8
9;GeorgiaXXX;true;2019-10-21T13:46:36;2019-10-20T15:47:40;navigating;74732;9;9
10;South Georgia and the South Sandwich Islands;true;2019-10-21T06:18:01;2019-10-20T15:41:47;Home Loan Account;27599;10;10
